,Year,Country,Area,Day Time,Fatal,Type
395,2015,AUSTRALIA,New South Wales,Morning,N,Unprovoked
396,2015,AUSTRALIA,New South Wales,Morning,N,Unprovoked
397,2015,USA,North Carolina,Afternoon,N,Unprovoked
398,2015,AUSTRALIA,New South Wales,,N,Unprovoked
399,2015,USA,South Carolina,Evening,N,Unprovoked
400,2015,USA,North Carolina,Afternoon,N,Unprovoked
401,2015,SOUTH AFRICA,Western Cape Province,Afternoon,N,Unprovoked
402,2015,USA,Florida,Evening,Unknown,
403,2015,SOUTH AFRICA,Western Cape Province,Afternoon,N,Unprovoked
404,2015,USA,South Carolina,Morning,N,Unprovoked
405,2015,AUSTRALIA,Western Australia,,N,Provoked
406,2015,USA,North Carolina,Morning,N,Unprovoked
407,2015,USA,North Carolina,Afternoon,N,Unprovoked
408,2015,AUSTRALIA,Western Australia,Morning,N,
409,2015,USA,South Carolina,,N,Unprovoked
410,2015,PUERTO RICO,,Morning,N,Unprovoked
411,2015,USA,Florida,Afternoon,N,Unprovoked
412,2015,USA,North Carolina,Afternoon,N,Unprovoked
413,2015,USA,North Carolina,Afternoon,N,Unprovoked
414,2015,USA,California,,N,Unprovoked
415,2015,USA,North Carolina,Afternoon,N,Unprovoked
416,2015,USA,Florida,Morning,N,Unprovoked
417,2015,USA,Florida,,N,Unprovoked
418,2015,REUNION,Le Port,Afternoon,N,Unprovoked
419,2015,USA,Florida,Afternoon,N,Unprovoked
420,2015,USA,Florida,Afternoon,N,Unprovoked
421,2015,FRENCH POLYNESIA,Rangiroa,Morning,N,Unprovoked
422,2015,USA,Florida,,N,Unprovoked
423,2015,USA,Florida,Morning,N,Unprovoked
424,2015,USA,South Carolina,Afternoon,N,Unprovoked
425,2015,NEW CALEDONIA,,,Y,Unprovoked
426,2015,USA,Florida,Afternoon,N,Unprovoked
427,2015,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
428,2015,SOUTH AFRICA,Eastern Cape Province,Afternoon,N,Unprovoked
429,2015,USA,Hawaii,Morning,Y,Unprovoked
430,2015,USA,Florida,Afternoon,N,Unprovoked
431,2015,AUSTRALIA,South Australia,Morning,N,Unprovoked
432,2015,AUSTRALIA,New South Wales,Morning,N,Unprovoked
433,2015,USA,Florida,,N,Unprovoked
434,2015,REUNION,Saint-Gilles-les-Bains,Morning,Y,Unprovoked
435,2015,AUSTRALIA,New South Wales,Morning,N,Unprovoked
436,2015,USA,Florida,Afternoon,N,Unprovoked
437,2015,ITALY,Sardinia,,Unknown,
438,2015,BRAZIL,Pernambuco,Morning,Unknown,
439,2015,SOUTH AFRICA,Eastern Cape Province,,N,
440,2015,EGYPT,,,Y,Unprovoked
441,2015,USA,Hawaii,Morning,N,Unprovoked
442,2015,FRENCH POLYNESIA,Bora Bora,Morning,N,Unprovoked
443,2015,AUSTRALIA,New South Wales,Morning,N,
444,2015,MEXICO,Sinaloa,Morning,N,Provoked
445,2015,FRENCH POLYNESIA,Central Tuamotu,,N,Unprovoked
446,2015,ATLANTIC OCEAN,,,N,
447,2015,REUNION,d��tang-Sal�,Evening,Y,Unprovoked
448,2015,AUSTRALIA,New South Wales,Morning,Y,Unprovoked
449,2015,AUSTRALIA,New South Wales,Morning,N,Unprovoked
450,2015,AUSTRALIA,New South Wales,,N,Unprovoked
451,2015,AUSTRALIA,Queensland,Night,N,
452,2015,USA,Hawaii,Night,N,Provoked
453,2015,AUSTRALIA,New South Wales,,N,Unprovoked
454,2015,SOUTH AFRICA,Eastern Cape Province,Afternoon,N,Unprovoked
455,2015,USA,Florida,,N,
456,2015,AUSTRALIA,New South Wales,,Unknown,
457,2015,AUSTRALIA,New South Wales,Afternoon,N,
458,2015,AUSTRALIA,New South Wales,,N,Unprovoked
459,2015,USA,Florida,Night,Unknown,
460,2015,BAHAMAS,Abaco Islands,Afternoon,N,Unprovoked
461,2015,SOUTH AFRICA,Eastern Cape Province,Morning,N,Unprovoked
462,2015,USA,Florida,Afternoon,N,Unprovoked
463,2014,AUSTRALIA,New South Wales,Morning,N,Unprovoked
464,2014,AUSTRALIA,Western Australia,Morning,Y,Unprovoked
465,2014,GREECE,,,N,
466,2014,SOUTH AFRICA,KwaZulu-Natal,Morning,Unknown,
467,2014,USA,California,Morning,N,Unprovoked
468,2014,AUSTRALIA,Victoria,Morning,N,Provoked
469,2014,JAPAN,,,N,Unprovoked
470,2014,AUSTRALIA,Queensland,Morning,Y,Unprovoked
471,2014,SPAIN,Granada,Morning,N,Provoked
